apn,licenseNumber,licenseType,licenseStatus,issueDate,expirationYear,expirationDate,licenseName,address,endorsements,ward,neighborhood,lastUpdateDate,X,Y,issueMonth,issueYear,duration,Wine,On Sale,Add Strong Beer,No Entertainment,Liquor,General Entertainment,Bottle Club,Limited Entertainment,Class A,Adult Entertainment,Class E Entertainment,Taproom Class E Entertainment,Taproom No Entertainment,Taproom Class C1 Entertainment,Taproom Limited Entertainment,Beer,Class C1 Entertainment,Class B Entertainment,Class D Entertainment,Class A Entertainment,Distillery,Class C2 Entertainment,BL Sunday Sales Exemption,Culinary Classes
2202924440060,LIC394474,BLLiquor,Approved,2023-07-28 08:25:51,2024,2024-07-01 23:59:59,Rand Tower Hotel/Rand Tower,527 MARQUETTE AVE," Liquor, On Sale, General Entertainment",7,Downtown West,2023-07-30 18:15:21,-93.2695552567814,44.9773294507298,7,2023,339 days 15:34:08,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2802924410047,LIC394628,BLLiquor,Approved,2023-07-28 08:25:59,2024,2024-07-01 23:59:59,Cardamom,725 VINELAND PL," Liquor, On Sale, No Entertainment",7,Lowry Hill,2023-07-30 18:15:21,-93.2891998552647,44.9684710662838,7,2023,339 days 15:34:00,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0602823330027,LIC74695,BLBeer,Pending,2015-12-11 00:00:00,2023,2023-04-01 00:00:00,Vincent Giantvalley Post,3751 MINNEHAHA AVE," Beer, On Sale, Bottle Club",12,Howe,2023-08-24 18:15:21,-93.2235728069559,44.9345205736859,12,2015,2668 days 00:00:00,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0502824210244,LIC75240,BLLiquor,Approved,2023-08-11 09:55:59,2024,2024-07-01 00:00:00,Wakame Sushi & Asian Bistro,3070 EXCELSIOR BLVD," Liquor, On Sale, Class E Entertainment; Liquor, On Sale, No Entertainment",13,West Maka Ska,2023-08-13 18:15:19,-93.3225555028116,44.9475887771447,8,2023,324 days 14:04:01,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2502924230039,LIC78248,BLLiquor,Pending,2021-05-21 11:45:44,2023,2023-01-01 00:00:00,Acadia Cafe,329 CEDAR AVE S," Liquor, On Sale, Class C1 Entertainment; Liquor, On Sale, Limited Entertainment",6,Cedar Riverside,2023-08-01 18:15:24,-93.2469427719231,44.9702717622094,5,2021,589 days 12:14:16,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3302924430041,LIC379980,BLWine,Pending,2022-05-06 15:19:04,2023,2023-04-01 23:59:59,Troubadour Wine Bar,2827 HENNEPIN AVE," Wine, On Sale, Limited Entertainment; Wine, On Sale, Add Strong Beer",10,Lowry Hill East,2023-08-01 18:15:24,-93.2978683049057,44.9510686442245,5,2022,330 days 08:40:55,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1602824410177,LIC402750,BLLiquor,Pending,2022-11-18 00:36:38,2023,2023-07-01 23:59:59,The Malt Shop Bar and Grill,809 50TH ST W," Liquor, On Sale, Limited Entertainment",13,Lynnhurst,2023-08-01 18:15:24,-93.2900610467714,44.9121312948127,11,2022,225 days 23:23:21,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2202924219001,LIC403930,BLLiquor,Approved,2023-07-24 11:01:35,2023,2023-10-01 00:00:00,Butcher & The Boar,901 3RD ST N #195," Liquor, On Sale, No Entertainment",3,North Loop,2023-07-25 18:15:22,-93.2814704541161,44.988749104947,7,2023,68 days 12:58:25,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2202924410072,LIC76253,BLLiquor,Approved,2023-07-07 09:23:19,2024,2024-07-01 00:00:00,Stadium Bar & Grill,207 WASHINGTON AVE N," Liquor, On Sale, Class E Entertainment; Liquor, On Sale, No Entertainment",3,Downtown West,2023-07-09 18:15:27,-93.2720490581636,44.9836959976851,7,2023,359 days 14:36:41,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3002923220018,LIC76480,BLLiquor,Approved,2023-07-07 09:23:18,2024,2024-07-01 00:00:00,Stub & Herb's,227 OAK ST SE," Liquor, On Sale, Class C1 Entertainment; Liquor, On Sale, Limited Entertainment",2,Prospect Park - East River Road,2023-07-09 18:15:27,-93.2268199418235,44.9738338017722,7,2023,359 days 14:36:42,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2602924140060,LIC77439,BLLiquor,Approved,2023-07-07 09:23:24,2024,2024-07-01 00:00:00,Corner Bar (The),1501 WASHINGTON AVE S," Liquor, On Sale, Class B Entertainment; Liquor, On Sale, General Entertainment",6,Cedar Riverside,2023-07-09 18:15:27,-93.2477292209032,44.9727423607525,7,2023,359 days 14:36:36,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1102924230120,LIC79163,BLLiquor,Approved,2023-07-07 09:23:19,2024,2024-07-01 00:00:00,Stanleys Northeast Bar Room,2500 UNIVERSITY AVE NE," Liquor, On Sale, Class E Entertainment; Liquor, On Sale, No Entertainment",1,Marshall Terrace,2023-07-09 18:15:27,-93.2635647990884,45.013379365839,7,2023,359 days 14:36:41,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2202924130039,LIC79756,BLLiquor,Approved,2023-07-07 09:23:23,2024,2024-07-01 00:00:00,Cuzzy's Grill & Bar,507 WASHINGTON AVE N," Liquor, On Sale, Class E Entertainment; Liquor, On Sale, No Entertainment",3,North Loop,2023-07-09 18:15:27,-93.2753567188201,44.9860703589222,7,2023,359 days 14:36:37,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2202924410062,LIC80363,BLLiquor,Approved,2023-07-07 09:23:21,2024,2024-07-01 00:00:00,Runyon's,107 WASHINGTON AVE N," Liquor, On Sale, Class E Entertainment; Liquor, On Sale, No Entertainment",3,Downtown West,2023-07-09 18:15:27,-93.2708925571853,44.9828815858283,7,2023,359 days 14:36:39,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2302924130623,LIC371478,BLLiquor,Approved,2023-07-07 09:23:22,2024,2024-07-01 23:59:00,Minneapolis Event Centers,212 2ND ST SE," Liquor, On Sale, Class C1 Entertainment; Liquor, On Sale, Limited Entertainment",3,Marcy Holmes,2023-07-09 18:15:27,-93.253976367697,44.9846400038368,7,2023,360 days 14:35:38,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3202924340510,LIC380398,BLWine,Approved,2023-07-07 09:23:20,2024,2024-04-01 23:59:59,Seed Cafe,3252 LAKE ST W #B," Wine, On Sale, No Entertainment; Wine, On Sale, Add Strong Beer",7,Cedar - Isles - Dean,2023-07-09 18:15:27,-93.3208342067597,44.9491316440658,7,2023,269 days 14:36:39,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
